My SLURM_ARRAY_TASK_ID: 


Using device: cuda
Files already downloaded and verified
Files already downloaded and verified
Epoch 0	Top1 Train accuracy 51.41183090209961	Top1 Test accuracy: 60.56928253173828	Top5 test acc: 95.73184967041016
Epoch 1	Top1 Train accuracy 62.98389434814453	Top1 Test accuracy: 63.111785888671875	Top5 test acc: 96.38384246826172
Epoch 2	Top1 Train accuracy 64.7596435546875	Top1 Test accuracy: 64.40486907958984	Top5 test acc: 96.64751434326172
Epoch 3	Top1 Train accuracy 65.72464752197266	Top1 Test accuracy: 65.16658782958984	Top5 test acc: 96.83306121826172
Epoch 4	Top1 Train accuracy 66.36957550048828	Top1 Test accuracy: 65.74275970458984	Top5 test acc: 96.90142059326172
Epoch 5	Top1 Train accuracy 66.76378631591797	Top1 Test accuracy: 66.14200592041016	Top5 test acc: 96.92095184326172
Epoch 6	Top1 Train accuracy 67.13488006591797	Top1 Test accuracy: 66.27872467041016	Top5 test acc: 97.01860809326172
Epoch 7	Top1 Train accuracy 67.43821716308594	Top1 Test accuracy: 66.52172088623047	Top5 test acc: 97.10649871826172
Epoch 8	Top1 Train accuracy 67.76107788085938	Top1 Test accuracy: 66.80376434326172	Top5 test acc: 97.10649871826172
Epoch 9	Top1 Train accuracy 67.98469543457031	Top1 Test accuracy: 66.85375213623047	Top5 test acc: 97.14556121826172
Epoch 10	Top1 Train accuracy 68.2238540649414	Top1 Test accuracy: 67.02837371826172	Top5 test acc: 97.15532684326172
Epoch 11	Top1 Train accuracy 68.4191665649414	Top1 Test accuracy: 67.10535430908203	Top5 test acc: 97.17485809326172
Epoch 12	Top1 Train accuracy 68.58059692382812	Top1 Test accuracy: 67.12488555908203	Top5 test acc: 97.15648651123047
Epoch 13	Top1 Train accuracy 68.72010040283203	Top1 Test accuracy: 67.3460464477539	Top5 test acc: 97.18578338623047
Epoch 14	Top1 Train accuracy 68.87555694580078	Top1 Test accuracy: 67.42532348632812	Top5 test acc: 97.18578338623047
Epoch 15	Top1 Train accuracy 68.97520446777344	Top1 Test accuracy: 67.59133911132812	Top5 test acc: 97.20415496826172
Epoch 16	Top1 Train accuracy 69.05691528320312	Top1 Test accuracy: 67.64763641357422	Top5 test acc: 97.20415496826172
Epoch 17	Top1 Train accuracy 69.15457153320312	Top1 Test accuracy: 67.75505828857422	Top5 test acc: 97.19438934326172
Epoch 18	Top1 Train accuracy 69.25023651123047	Top1 Test accuracy: 67.69646453857422	Top5 test acc: 97.22368621826172
Epoch 19	Top1 Train accuracy 69.2980728149414	Top1 Test accuracy: 67.705078125	Top5 test acc: 97.20415496826172
Epoch 20	Top1 Train accuracy 69.36383819580078	Top1 Test accuracy: 67.822265625	Top5 test acc: 97.20415496826172
Epoch 21	Top1 Train accuracy 69.38775634765625	Top1 Test accuracy: 67.890625	Top5 test acc: 97.19438934326172
Epoch 22	Top1 Train accuracy 69.43359375	Top1 Test accuracy: 67.8515625	Top5 test acc: 97.18462371826172
