INFO:root:Start SimCLR training for 200 epochs.
INFO:root:Training with gpu: False.
DEBUG:root:Epoch: 0	Loss: 6.706729888916016	Top1 accuracy: 2.5390625
DEBUG:root:Epoch: 1	Loss: 5.571606159210205	Top1 accuracy: 5.46875
DEBUG:root:Epoch: 2	Loss: 5.503203868865967	Top1 accuracy: 6.8359375
DEBUG:root:Epoch: 3	Loss: 4.80642032623291	Top1 accuracy: 14.0625
DEBUG:root:Epoch: 4	Loss: 4.8608317375183105	Top1 accuracy: 17.96875
DEBUG:root:Epoch: 5	Loss: 4.523264408111572	Top1 accuracy: 20.1171875
DEBUG:root:Epoch: 6	Loss: 4.258200168609619	Top1 accuracy: 24.4140625
DEBUG:root:Epoch: 7	Loss: 3.9840478897094727	Top1 accuracy: 25.0
DEBUG:root:Epoch: 8	Loss: 3.8505258560180664	Top1 accuracy: 30.2734375
DEBUG:root:Epoch: 9	Loss: 3.810580015182495	Top1 accuracy: 30.078125
DEBUG:root:Epoch: 10	Loss: 4.035300254821777	Top1 accuracy: 27.1484375
DEBUG:root:Epoch: 11	Loss: 3.427852153778076	Top1 accuracy: 21.484375
DEBUG:root:Epoch: 12	Loss: 3.6085493564605713	Top1 accuracy: 28.7109375
DEBUG:root:Epoch: 13	Loss: 3.5455727577209473	Top1 accuracy: 34.1796875
DEBUG:root:Epoch: 14	Loss: 3.6944401264190674	Top1 accuracy: 31.25
DEBUG:root:Epoch: 15	Loss: 3.8090715408325195	Top1 accuracy: 31.640625
DEBUG:root:Epoch: 16	Loss: 3.8726985454559326	Top1 accuracy: 33.3984375
DEBUG:root:Epoch: 17	Loss: 3.4107296466827393	Top1 accuracy: 33.3984375
DEBUG:root:Epoch: 18	Loss: 3.1206743717193604	Top1 accuracy: 36.328125
DEBUG:root:Epoch: 19	Loss: 3.347485065460205	Top1 accuracy: 31.4453125
DEBUG:root:Epoch: 20	Loss: 3.1033363342285156	Top1 accuracy: 39.2578125
DEBUG:root:Epoch: 21	Loss: 3.059926986694336	Top1 accuracy: 35.15625
DEBUG:root:Epoch: 22	Loss: 3.645690679550171	Top1 accuracy: 40.8203125
DEBUG:root:Epoch: 23	Loss: 3.561418294906616	Top1 accuracy: 37.6953125
DEBUG:root:Epoch: 24	Loss: 3.0548574924468994	Top1 accuracy: 40.4296875
DEBUG:root:Epoch: 25	Loss: 3.1882150173187256	Top1 accuracy: 37.6953125
DEBUG:root:Epoch: 26	Loss: 3.5156936645507812	Top1 accuracy: 46.6796875
DEBUG:root:Epoch: 27	Loss: 3.2919023036956787	Top1 accuracy: 42.96875
DEBUG:root:Epoch: 28	Loss: 3.0199084281921387	Top1 accuracy: 43.75
DEBUG:root:Epoch: 29	Loss: 3.0909335613250732	Top1 accuracy: 43.75
DEBUG:root:Epoch: 30	Loss: 2.591324806213379	Top1 accuracy: 40.234375
DEBUG:root:Epoch: 31	Loss: 2.990403652191162	Top1 accuracy: 43.1640625
DEBUG:root:Epoch: 32	Loss: 2.9379451274871826	Top1 accuracy: 39.2578125
DEBUG:root:Epoch: 33	Loss: 2.8853626251220703	Top1 accuracy: 46.2890625
